"C_MENU,C,1","C_REC,C,1","NAME_REC,C,35","ENDS,L"
"J","М","Воскресенский з-д ""Машиностроитель""",ЛОЖЬ
"P",".","ГАЗ-33021",ЛОЖЬ
"G",">","светло-дымчатый",ЛОЖЬ
"G","?","темно-серый",ЛОЖЬ
"G","@","темно-синий",ЛОЖЬ
"G","A","светло-зеленый",ЛОЖЬ
"G","B","светло-салатный",ЛОЖЬ
"N","c","БМВ-525",ЛОЖЬ
"N","d","БМВ-528",ЛОЖЬ
"G","C","бледно-зеленый",ЛОЖЬ
"J","Н","ИЧП "" Сириус "" г. Батайск",ЛОЖЬ
"G","D","рубин",ЛОЖЬ
"G","E","темно-вишневый",ЛОЖЬ
"N","e","ВАЗ-21065",ЛОЖЬ
"J","О","м-н ""Автозаводец"" Н.Новгород",ЛОЖЬ
"N","f","ВАЗ-21072",ЛОЖЬ
"B","^","Тягач",ИСТИНА
"^","_","""Лавина""-69501ПТ",ЛОЖЬ
"C","H","Димитровский ОЭЗ, Украина",ЛОЖЬ
"E","`","Тягач",ЛОЖЬ
"G","F","желто-белый",ЛОЖЬ
"J","П","Белокалитвенский ОВД",ЛОЖЬ
"J","Р","Произв.-коммерч.фирма""Транзит-Дон""",ЛОЖЬ
"J","С","НПО ""ИЛАН""",ЛОЖЬ
"J","Т","ТОО ""Центр услуг""",ЛОЖЬ
"Y","*","БТР-40",ЛОЖЬ
"J","У","Верхне-Волжская ВБ МВД РФ",ЛОЖЬ
"J","Ф","АООТ ПЗ-10",ЛОЖЬ
"O","*","УАЗ-31514",ЛОЖЬ
"P","/","КАМАЗ-43101",ЛОЖЬ
"J","Х","1-й Донской ОБДПС",ЛОЖЬ
"N","g","БМВ-518",ЛОЖЬ
"Q",".","Мерседес-Бенц",ЛОЖЬ
"C","I","Мерседес-Бенц",ЛОЖЬ
"J","Ч","КБ ""ДОНИНВЕСТ""",ЛОЖЬ
"N","i","ВАЗ-21054",ЛОЖЬ
"H","u","ЦАФАП",ЛОЖЬ
"5","*","ДВ1792.33.20",ЛОЖЬ
"C","J","БАЛКАН-КАР",ЛОЖЬ
"C","K","З-д ДЕТВА ЧССР",ЛОЖЬ
"J","Ш","АО ""Роскабель""",ЛОЖЬ
"N","j","РЕНО-25",ЛОЖЬ
"N","k","АЛЬФА-РОМЕО-155",ЛОЖЬ
"N","l","ФИАТ-ТИПО",ЛОЖЬ
"J","Щ","АО ""Содружество""",ЛОЖЬ
"Q","/","Тойота ""Хиачи""",ЛОЖЬ
"P","3","ГАЗ-33073",ЛОЖЬ
"J","Ъ","""ЮГ-НЕФТЬКОНТРАКТ""",ЛОЖЬ
"J","Ы","Ремонтненский ОВД",ЛОЖЬ
"J","Ь","ИЧП ""Фортуна""",ЛОЖЬ
"P","4","ГАЗ-3309",ЛОЖЬ
"J","Э","Автоколонна 1558",ЛОЖЬ
"N","m","ДЭУ Эсперо",ЛОЖЬ
"C","L","АО ""Красный Аксай""",ЛОЖЬ
"J","Ю","Десятый подшипниковый завод",ЛОЖЬ
"J","Я","Диагн.оздоров.центр г.Новошахтинск",ЛОЖЬ
"H","v","УГОН",ЛОЖЬ
"J","а","в\ч 45081",ЛОЖЬ
"N","n","ЗАЗ-1102""Таврия""",ЛОЖЬ
"C","M","Днепропетровский з-д",ЛОЖЬ
"J","б","Чеченская респ.",ЛОЖЬ
"Q","0","Псковавто-221400",ЛОЖЬ
"J","в","АО  ""Псковавто""",ЛОЖЬ
"C","N","Псковавто",ЛОЖЬ
"J","г","АО ""АКСАЙ""",ЛОЖЬ
"J","д","ОВО Октябрьского ОВД",ЛОЖЬ
"P","5","ГАЗ-3302",ЛОЖЬ
"J","е","СИДиСРС",ЛОЖЬ
"H","x","Отд.по орган.работы конвойн.сл.",ЛОЖЬ
"H","y","УДИР",ЛОЖЬ
"H","z","Пирс",ЛОЖЬ
"J","ж","Прочие склады",ИСТИНА
"Q","1","УАЗ-3303",ЛОЖЬ
"H","{","Бюро несчастных случаев",ЛОЖЬ
"C","O","ТОО ТАГАНРОГ УАЗ Сервис",ЛОЖЬ
"J","з","ТОО ТаганрогУАЗ Сервис",ЛОЖЬ
"J","и","УВД г.Ростова-на-Дону",ЛОЖЬ
"Q","2","УАЗ-3909",ЛОЖЬ
"H","|","УСБ",ЛОЖЬ
"D","?","грузопассажирский",ЛОЖЬ
"E","a","Спец.водомет",ЛОЖЬ
"Q","3","ГАЗ-270500",ЛОЖЬ
"E","b","ЗУС-400",ЛОЖЬ
"C","P","АОЗТ ""Югавторемонт""",ЛОЖЬ
"R","(","Дача-375",ЛОЖЬ
"C","Q","АО ""Роствертол""",ЛОЖЬ
"N","o","ГАЗ-311000",ЛОЖЬ
"N","p","БМВ-3251",ЛОЖЬ
"N","q","АУДИ-100",ЛОЖЬ
"N","r","Хендэ-Элантра",ЛОЖЬ
"T","(","АМУР-2",ЛОЖЬ
"H","~","СМОБ",ЛОЖЬ
"ж","(","Зимовниковский конный завод",ЛОЖЬ
"ж",")","Футбольный клуб ветеранов ""Кубань""",ЛОЖЬ
"й","(",,ЛОЖЬ
"к","(","спец.склад резерва МВД",ЛОЖЬ
"N","t","Опель-Монтерей",ЛОЖЬ
"H","А","КРУ",ЛОЖЬ
"H","Б","Интерпол",ЛОЖЬ
"G","G","баклажановый",ЛОЖЬ
"H","л","2-е спецотделение",ИСТИНА
"Q","4","ГАЗ-322100",ЛОЖЬ
"J","(","Уральская военная база",ЛОЖЬ
"D","@","топливозаправщик",ЛОЖЬ
"H","Д","СК отдел НИИ МВД РФ",ЛОЖЬ
"H","Е","УМБПСОВБ",ЛОЖЬ
"H","Ж","СРЛС",ЛОЖЬ
"Y","+","БТР-80м",ЛОЖЬ
"H","Й","ООП",ЛОЖЬ
"Q","5","САРЗ-3280",ЛОЖЬ
"C","R","АО ""СЕМАР""",ЛОЖЬ
"A","8","Грузопассажирский",ЛОЖЬ
"O","+","УАЗ-31519",ЛОЖЬ
"7","*","Т-25А",ЛОЖЬ
"D","A","тратуароуборочный",ЛОЖЬ
"C","S","Владимирский тр-ный з-д",ЛОЖЬ
"ж","*","ЗАО ""Лагода-Интранс",ЛОЖЬ
"N","u","Ниссан-Патфиндер",ЛОЖЬ
"H","К","УВПГиВП",ЛОЖЬ
"N","v","Кондор",ЛОЖЬ
"P","6","ГАЗ-33023",ЛОЖЬ
"ж","+","ООО ""Форсаг""",ЛОЖЬ
"P","7","ГАЗ-2705",ЛОЖЬ
"T",")","МАСТЕР-540",ЛОЖЬ
"ж",",","Адмиралтейские верфи",ЛОЖЬ
"C","T","Адмиралтейские верфи",ЛОЖЬ
"C","U","Фольскваген ФРГ",ЛОЖЬ
"P","8","Ханомаг-Хеншел",ЛОЖЬ
"E","c","ЛКДУ",ЛОЖЬ
"Q","6","ГАЗ-322140",ЛОЖЬ
"A","k","Прицеп",ИСТИНА
"R",")","ПГД-500А",ЛОЖЬ
"R","*","2ПН2",ЛОЖЬ
"C","V","АО ""Роствертол""",ЛОЖЬ
"N","x","М-214122",ЛОЖЬ
"ж","-","Ленинград.НИИ радиац.гигиены",ЛОЖЬ
"ж",".","Луцкий",ЛОЖЬ
"N","y","ЛуаЗ-699",ЛОЖЬ
"a","(",,ЛОЖЬ
"R","+","МПМ-8120А",ЛОЖЬ
"P","9","ГАЗ-6614",ЛОЖЬ
"N","z","Тойота Ленд Краузер",ЛОЖЬ
"Q","7","УАЗ-39099",ЛОЖЬ
"S",",","ИМЗ-8103",ЛОЖЬ
"S","-","КМЗ-8155",ЛОЖЬ
"G","H","металлик",ЛОЖЬ
"G","I","коричневый",ЛОЖЬ
"H","Н","Сельский отд.милиции",ЛОЖЬ
"Q","8","ГАЗ-322150",ЛОЖЬ
"Q","9","ГАЗ-32213",ЛОЖЬ
"ж","/","ООО ""Издательский дом Юг""",ЛОЖЬ
"O",",","Джип-Гранд-Чероки",ЛОЖЬ
"N","{","Мерседес-Бенц С240",ЛОЖЬ
"ж","0","Белокалитвенский ГС ОСТО",ЛОЖЬ
"C","W","Даймлер-Крайслер"" Германия",ЛОЖЬ
"ж","1","АО ""Таган.металлургич.з-д""",ЛОЖЬ
"ж","2","Московская ВБ",ЛОЖЬ
"ж","3","Ленинский АМВ",ЛОЖЬ
"Q",":","УАЗ-39629",ЛОЖЬ
"P",":","САЗ-350701",ЛОЖЬ
"ж","4","Димитровский ОЭЗ",ЛОЖЬ
"ж","5","РСТОА-2 ""Донавтосервис""",ЛОЖЬ
"ж","6","ООО ""Гедон-Ростов""",ЛОЖЬ
"ж","7","ООО ""Август""",ЛОЖЬ
"C","X","ЗАО ""АО Экспертцентр""",ЛОЖЬ
"E","d","Взырово-техн.лаборат.",ЛОЖЬ
"ж","8","ЗАО ""АО Экспертцентр""",ЛОЖЬ
"C","Y","""АО Экспертцентр""",ЛОЖЬ
"P",";","2962OW",ЛОЖЬ
"N","|","ВАЗ-21150",ЛОЖЬ
"N","}","ВАЗ-21102",ЛОЖЬ
"N","~","Форд Сиерра",ЛОЖЬ
"C","Z","ФОРД ФРГ",ЛОЖЬ
"ж","9","1-й Донской ОБДПС",ЛОЖЬ
"R",",","ОДАЗ-93571",ЛОЖЬ
"ж","9","СМУ ОКС ГУВД РО",ЛОЖЬ
"I","/","Комитет госимущества Рост.обл.",ЛОЖЬ
"E","f","Мобильн.пункт милиции",ЛОЖЬ
"N","","Фольскваген-Гольф",ЛОЖЬ
"ж",":","АО ЮНИАВТО",ЛОЖЬ
"ж",";","ООО ""Росттранс и К""",ЛОЖЬ
"ж","<","ООО ""Юг-Лада""",ЛОЖЬ
"ж","=","сборка из узлов и агрегатов",ЛОЖЬ
"P","<","КАМАЗ-53202",ЛОЖЬ
"ж",">","Зерноградский ОВД",ЛОЖЬ
"T","*","КАЗАНКА 5м-2",ЛОЖЬ
"T","+","ПРОГРЕСС-4",ЛОЖЬ
"ж","?","Цимлянский рыбокомбинат",ЛОЖЬ
"O","-","УАЗ-22069",ЛОЖЬ
"ж","@","ООО""КОЛИЗЕЙ""",ЛОЖЬ
"ж","A","ПБОЮЛ Марченко В.П.",ЛОЖЬ
"ж","B","ООО ""Легион""",ЛОЖЬ
"Q","<","ГАЗ-322132",ЛОЖЬ
"ж","C","Автосалон ""Экспресс""",ЛОЖЬ
"O",".","Ниссан-Патфиндер",ЛОЖЬ
"ж","D","2-й Донской ОБДПС",ЛОЖЬ
"G","J","фиолетовый",ЛОЖЬ
"N","А","ВАЗ-21103",ЛОЖЬ
"ж","E","Автосалон ""МОДУС""",ЛОЖЬ
"N","","ВАЗ-21103",ЛОЖЬ
"N","А","Крайслер-Интрепид",ЛОЖЬ
"ж",":","ИП ЕГОРОВ",ЛОЖЬ
"ж",";","Салон ""МОДУС""",ЛОЖЬ
"ж","<","Батайская СТО ВАЗ",ЛОЖЬ
"ж","F","ИП ЕГОРОВ",ЛОЖЬ
"ж","G","ОВД г.Каменска",ЛОЖЬ
"ж","H","ООО ""АвтоМИР""",ЛОЖЬ
"I","1","возмещение мат.ущерба ДТП",ЛОЖЬ
"ж","I","Дубовский райпотребсоюз",ЛОЖЬ
"Q",";","КУБАНЬ",ЛОЖЬ
"ж","J","НПФ ""МЕТА""",ЛОЖЬ
"E","g","ППВК",ЛОЖЬ
"P","=","КАМАЗ-53215",ЛОЖЬ
"*","+","Аренда",ЛОЖЬ
"ж","K","ООО ""ЛАДА-ТРАСТ-3""",ЛОЖЬ
"ж","L","ООО ""ТЕМП АВТО-ДОН""",ЛОЖЬ
"E","h","А\м инж.подразд.",ЛОЖЬ
"Q","=","ГАЗ-2752",ЛОЖЬ
"E","i","ЛДИ (лаборат.дорожной инспекции)",ЛОЖЬ
"ж","M","ООО ""АвтодомСервис""",ЛОЖЬ
"E","j","АА ГАИ",ЛОЖЬ
"ж","N","ООО ""Автобан-Дон""",ЛОЖЬ
"ж","O","ЧП ""Зинченко""",ЛОЖЬ
"ж","P","ООО ""Каменск-Лада""",ЛОЖЬ
"N","В","ДЕУ-ЛЕГАНЗА",ЛОЖЬ
"ж","Q","ООО ""ОРБИТА-ПЛЮС""",ЛОЖЬ
"P",">","МАЗ-54323",ЛОЖЬ
"R","-","МАЗ-9397",ЛОЖЬ
"H","С","Отд.по работе с л\ч",ЛОЖЬ
"ж","R","ООО ""Росавтоэкспорт""",ЛОЖЬ
"O","/","УАЗ-315146",ЛОЖЬ
"Q","?","Фольскваген-Каравелла",ЛОЖЬ
"E","k","РВЧ",ЛОЖЬ
"H","Т","Начальник полиции",ЛОЖЬ
"ж","S","возмещение мат.ущерба",ЛОЖЬ
"ж","T","ООО ""Фирма Легион""",ЛОЖЬ
"ж","U","ПБОЮЛ Концевой А.М.",ЛОЖЬ
"]","*","КАМАЗ-53213",ЛОЖЬ
"H","Х","ИАЗ",ЛОЖЬ
"ж","V","УСТМ МВД РФ",ЛОЖЬ
"ж","W","договор мены",ЛОЖЬ
"P","?","ГАЗ-4301",ЛОЖЬ
"P","@","ЗИЛ-433360",ЛОЖЬ
"G","K","сине-зеленый",ЛОЖЬ
"G","L","темно-бордовый",ЛОЖЬ
"ж","X","ООО ""Автоцентр ГАЗ на Дону""",ЛОЖЬ
"ж","Y","ООО ""БелавтоМАЗ""",ЛОЖЬ
"N","Д","Мерседес-Бенц С320",ЛОЖЬ
"Q","@","ФИАТ",ЛОЖЬ
"H","Ш","Руководство КМ,МОБ",ЛОЖЬ
"R",".","8280",ЛОЖЬ
"N","Е","Донинвест Кондор",ЛОЖЬ
"\",")","Н13Х АЛКА",ЛОЖЬ
"ж","Z","ООО ""А-Авто""",ЛОЖЬ
"N","Ж","ОПЕЛЬ-ОМЕГА",ЛОЖЬ
"Q","A","УРАЛ-42116",ЛОЖЬ
"P","A","Урал-4320-0111-10",ЛОЖЬ
"ж","[","по решению суда",ЛОЖЬ
"O","0","УАЗ-315142",ЛОЖЬ
"Y",",","БТР-60",ЛОЖЬ
"E","l","Рефрижератор",ЛОЖЬ
"P","B","ЗИЛ-433362",ЛОЖЬ
"ж","\","Южная военная база",ЛОЖЬ
"H","Ч","Сводный отряд п.Знаменское",ЛОЖЬ
"ж","]","МУП МТК Ростовпассажиртранс",ЛОЖЬ
"C","[","Клинцевский",ЛОЖЬ
"P","C","УРАЛ-5557-1658-10",ЛОЖЬ
"D",":","автокран КС-35719-3",ЛОЖЬ
"Q","B","УАЗ-220602",ЛОЖЬ
"N","З","ФОРД-ФОКУС",ЛОЖЬ
"ж","^","ЗАО ""ЮНИОН""",ЛОЖЬ
"Q","C","КАВЗ-397620",ЛОЖЬ
"Q","D","УАЗ-22069-04",ЛОЖЬ
"N","И","ИЖ-2126",ЛОЖЬ
"N","Й","ВАЗ-21214",ЛОЖЬ
"N","К","ВАЗ-21310Нива",ЛОЖЬ
"A",":","Экскаватор",ЛОЖЬ
"D","B","одноостный",ЛОЖЬ
"D","C","легковой",ЛОЖЬ
"O","1","УАЗ-315122",ЛОЖЬ
"C","\","ООО ""Интелак"" г.Москва",ЛОЖЬ
"5","+","ДВ-1788.33М ""Балканкар""",ЛОЖЬ
"H","Ъ","Инспекция пожарной безопасности",ЛОЖЬ
"R","/","ОДАЗ-9370",ЛОЖЬ
"F","-","грузоподъемность 19100кг",ЛОЖЬ
"T",",","АМУР-3",ЛОЖЬ
"J",",","ООО ""Равновесие-сервис""",ЛОЖЬ
"ж","_","ООО ""Астра-Авто""",ЛОЖЬ
"ж","b","ОВО при УВД г.Новочеркасска",ЛОЖЬ
"P","D","ЭО-2621",ЛОЖЬ
"ж","c","ООО ""ЗАЩИТА""",ЛОЖЬ
"J","л","ООО ""ЗАЩИТА""",ЛОЖЬ
"C","]","АСНП-ШКОДА (Чехия)",ЛОЖЬ
"I","2","Программа МОБ",ЛОЖЬ
"N","М","ВАЗ-21113",ЛОЖЬ
"N","Н","Мерседес-Бенц С200TD",ЛОЖЬ
"I","3","Закупка ФЭУ",ЛОЖЬ
"ж","d","ООО ""РосавтоУАЗ""",ЛОЖЬ
"N","О","ВАЗ-21120",ЛОЖЬ
"N","П","Хендэ Акцент",ЛОЖЬ
"P","E","ГАЗ-2752",ЛОЖЬ
"P","F","ГАЗ-27472",ЛОЖЬ
"O","2","УАЗ-315192",ЛОЖЬ
"H",",","УНП",ЛОЖЬ
"J","м","ЗАО ""Ю.С.Импекс-Авто""",ЛОЖЬ
"C","^","""Форд Мотор компани""",ЛОЖЬ
"*",",","спонсорская помощь",ЛОЖЬ
"I","4","Спонсорская помощь",ЛОЖЬ
"ж","`","ООО ""ДИСА""",ЛОЖЬ
"E","L","""Радар""",ЛОЖЬ
"ж","a","ООО ""Лада-Форвард-Ростов""",ЛОЖЬ
"J","н","ПБОЮЛ Косяков",ЛОЖЬ
"J","о","Зерноградский ОВД",ЛОЖЬ
"ж","e","ЗАО ""Росто-Лада 2""",ЛОЖЬ
"ж","f","ООО ""Дорстрой""",ЛОЖЬ
"N","Р","Опель-Астра",ЛОЖЬ
"P","G","ЗИЛ-433112 АЦ-3,2",ЛОЖЬ
"P","H","МАЗ-5337",ЛОЖЬ
"ж","g","ЮФО МВД РФ по СКО",ЛОЖЬ
"ж","h","ОАО ""Донской табак""",ЛОЖЬ
"N","С","Донинвест Орион",ЛОЖЬ
"ж","i","ООО ""Спецмаш""",ЛОЖЬ
"H","2","Зам.начальника ОВД",ЛОЖЬ
"H","9","Начальник ГАИ",ЛОЖЬ
"E","e","АПК",ЛОЖЬ
"ж","j","ЗАО ""РОССИ""",ЛОЖЬ
"N","Т","АУДИ А-6",ЛОЖЬ
"H",">","Спецприемник",ЛОЖЬ
"*","-","внебюджет",ЛОЖЬ
"I","5","Внебюджет",ЛОЖЬ
"O","3","УАЗ-390902",ЛОЖЬ
"O","4","УАЗ-31519 ЧЗ",ЛОЖЬ
"D","D","джип",ЛОЖЬ
"D","E","бронированный",ЛОЖЬ
"E","m","Бронированный",ЛОЖЬ
"ж","k","""Формула-К""",ЛОЖЬ
"C","_","ФГУП ""ПО УВЗ""",ЛОЖЬ
"5",",","ПУМ-500",ЛОЖЬ
"D","F","универсальный",ЛОЖЬ
"G","M","оранжевый",ЛОЖЬ
"@",".","грузоподъемность 11тн",ЛОЖЬ
"@","/","грузоподъемность 10тн",ЛОЖЬ
"C","`","Тойота Мотор Корпорейшн (Япония)",ЛОЖЬ
"N","У","Тойота Камри",ЛОЖЬ
"G","N","серебристый",ЛОЖЬ
"J","п","ООО ""Трейд Моторс""",ЛОЖЬ
"*",".","договор пожерствования",ЛОЖЬ
"ж","l","Фонд ""ЧАДЭ""",ЛОЖЬ
"G","O","св.серебристый металлик",ЛОЖЬ
"I","6","Довогор пожерствования ""ЧАДЭ""",ЛОЖЬ
"N","Ф","ВАЗ-2123Шевроле",ЛОЖЬ
"E","n","пожарный",ЛОЖЬ
"P","I","296220",ЛОЖЬ
"E","o","АРАКС",ЛОЖЬ
"ж","m","ЗАО ""НТЦ Экспертцентр""",ЛОЖЬ
"N","Х","ВАЗ-21140",ЛОЖЬ
"H","C","Начальник ОВД",ЛОЖЬ
"ж","n","УРП ОАО АвтоВАЗ г.Краснодар",ЛОЖЬ
"G","Q","серебристо-желтый",ЛОЖЬ
"O","5","УАЗ-3153",ЛОЖЬ
"H","M","ОБОиКПиО",ЛОЖЬ
"Q","E","ГАЗ-27057",ЛОЖЬ
"N","Ц","ВАЗ-21101",ЛОЖЬ
"ж","o","ООО ""Интертранс Плюс""",ЛОЖЬ
"H","P","Техотдел УГИБДД",ЛОЖЬ
"H","`","Дорнадзор",ЛОЖЬ
"H","c","Отдел ДПС",ЛОЖЬ
"H","e","КПО УГИБДД",ЛОЖЬ
"H","g","Руководство УГИБДД",ЛОЖЬ
"G","R","графитовый металлик",ЛОЖЬ
"ж","p","ООО ""Зенит-Авто""",ЛОЖЬ
"N","Ч","ВАЗ-21110",ЛОЖЬ
"N","Ш","ГАЗ-310221",ЛОЖЬ
"N","w","Фольскваген Пассат 1,8Т",ЛОЖЬ
"@","0","грузоподъемность 8тн",ЛОЖЬ
"@","1","грузоподъемность 400кг",ЛОЖЬ
"N","Щ","ВАЗ-21130",ЛОЖЬ
"N","Ъ","Опель Zafira",ЛОЖЬ
"I","7","МОБ для КМ",ЛОЖЬ
"N","Ы","ГАЗ-31105",ЛОЖЬ
"ж","q","ЗАИ Росмаслопром",ЛОЖЬ
"ж","r","ЗАО ""Автоцентр""",ЛОЖЬ
"ж","s","ООО ""ТрансМаш""",ЛОЖЬ
"H","R","ОРСУУМиК",ЛОЖЬ
"N","Ь","Фольскваген Пассат 2,8",ЛОЖЬ
"N","Э","Мерседес Бенц Е350",ЛОЖЬ
"ж","t","ГУ ""Центр ОРиСМ БДД"" МВД",ЛОЖЬ
"N","Ю","Фольскваген Пассат 2,4",ЛОЖЬ
"P","J","ГАЗ-3308",ЛОЖЬ
"N","Я","Вольво S60 2,5",ЛОЖЬ
"ж","u","ООО ""Дон-Моторс""",ЛОЖЬ
"T","-","МАСТЕР-450",ЛОЖЬ
"N","б","АУДИ А-4",ЛОЖЬ
"H","j","На списании",ЛОЖЬ
"ж","v","ООО ""Алескандр""",ЛОЖЬ
"ж","w","Управл.по делам миграции",ЛОЖЬ
"ж","x","ООО ""Защита Моторс""",ЛОЖЬ
"H","}","ОБМГ",ЛОЖЬ
"H","Ф","ООХВИ",ЛОЖЬ
"ж","y","ООО ""Лидер""",ЛОЖЬ
"N","в","ФОРД МОНДЕО",ЛОЖЬ
"H","Ы","Отстой",ЛОЖЬ
"E","@","ПРУ",ЛОЖЬ
"N","г","ВАЗ-11183",ЛОЖЬ
"H","Э","ОМОН",ЛОЖЬ
"H","Ю","Аппарат",ЛОЖЬ
"H","Я","Начальник МОБ",ЛОЖЬ
"N","д","Мерседес Бенц Спринтер 316",ЛОЖЬ
"E","p","ПУС",ЛОЖЬ
"O","6","Поток-2827",ЛОЖЬ
"N","е","ВАЗ-21112",ЛОЖЬ
"ж","z","ООО ""Трейд Моторс""",ЛОЖЬ
"N","ж","ВАЗ-21104",ЛОЖЬ
"ж","{","ООО ""АвтоГород""",ЛОЖЬ
"O","7","УАЗ-315195",ЛОЖЬ
"N","з","Шкода Супер 2,8",ЛОЖЬ
"Q","F","ПАЗ-32053",ЛОЖЬ
"Q","G","ГАЗ-221717",ЛОЖЬ
"ж","|","ООО ""Автоцентр-Центральный""",ЛОЖЬ
"N","и","Мерседес Бенц С280",ЛОЖЬ
"T",".","Арго",ЛОЖЬ
"J","+","Договор безвозмездного пользования",ЛОЖЬ
"*","/","договор безвозмездного пользования",ЛОЖЬ
"D","G","для транспортировки катера",ЛОЖЬ
"R","0","ЛАВ-81016",ЛОЖЬ
"C","a","ООО ""ВЕКТОР""",ЛОЖЬ
"ж","}","ИП Кузнецов",ЛОЖЬ
"G","S","серо-сине-зеленый",ЛОЖЬ
"G","P","темно-красный",ЛОЖЬ
"J","░","ГУ МВД России по ЮФО",ЛОЖЬ
"C","b","Ситроен, Франция",ЛОЖЬ
"N","й","Ситроен С5",ЛОЖЬ
"C","c","ООО ""МИКРО-Ф""",ЛОЖЬ
"5","-","41030 диз.",ЛОЖЬ
"J","▒","ЦОВБ МВД РФ",ЛОЖЬ
"N","к","ВАЗ-21121",ЛОЖЬ
"ж","~","ООО ""ЮгавтоСнаб""",ЛОЖЬ
"J","Ц","Коротин С.А.",ЛОЖЬ
"H","а","БД",ЛОЖЬ
"S",".","ОМАКС",ЛОЖЬ
"ж","","Ростовское отд.ВОА",ЛОЖЬ
"C","d","Китай",ЛОЖЬ
"H","б","ЦОРИ",ЛОЖЬ
"S","/","ИМЗ-8.1239",ЛОЖЬ
"P","K","ГАЗ-233036""Тигр""",ЛОЖЬ
"ж","А","ООО ""ТАГАЗ""",ЛОЖЬ
"P","L","УАЗ-374102",ЛОЖЬ
"ж","Б","ООО ""Лада-Форвард-Ростов""",ЛОЖЬ
"O","8","УАЗ-390994",ЛОЖЬ
"J","▓","Южная военная база",ЛОЖЬ
"N","л","Lexus RX350",ЛОЖЬ
"H","в","КМ 2",ЛОЖЬ
"H","г","КМ",ЛОЖЬ
"H","е","АТХ",ЛОЖЬ
"H","ж","Отдел ""Р""",ЛОЖЬ
"P","M","ЗИЛ-ММЗ-4505",ЛОЖЬ
"N","м","БМВ-523i",ЛОЖЬ
"N","н","БМВ-525i",ЛОЖЬ
"P","N","КАМАЗ-43114",ЛОЖЬ
"A","1","Вертолет",ЛОЖЬ
"B",":","Авиатехника",ИСТИНА
":","(","Ми-8Т",ЛОЖЬ
"C","e","Улан-Удинский",ЛОЖЬ
"ж","В","Центр авиации",ЛОЖЬ
"D","H","микроавтобус",ЛОЖЬ
"D","I","автобус пассажирский",ЛОЖЬ
"ж","Г","АТП Администрации РО",ЛОЖЬ
"N","п","Хендэ Соната",ЛОЖЬ
"P","O","384731 (Соболь-2217)",ЛОЖЬ
"P","P","РИДА-222211",ЛОЖЬ
"N","2","Ниссан Тиана",ЛОЖЬ
"H","H","Юристы",ЛОЖЬ
"R","1","89842 ЭД60",ЛОЖЬ
"D","J","электростанция",ЛОЖЬ
"G","T","камуфлированный",ЛОЖЬ
"O","9","УАЗ-315195 ЧЗ",ЛОЖЬ
"H","з","Вещевой отдел",ЛОЖЬ
"N","_","Киа Спектра",ЛОЖЬ
"P","Q","МАЗ-543203",ЛОЖЬ
"\","*","Sommer SG240 T-ATX",ЛОЖЬ
"P","R","Урал-43203-1151-41",ЛОЖЬ
"ж","Д","ООО ""Новые Технологии Безопасности""",ЛОЖЬ
"N","Б","Тойота Королла 1,5",ЛОЖЬ
"ж","Е","НОУ СТК ""Патриот""",ЛОЖЬ
"T","/","Сильвер",ЛОЖЬ
"R","2","ЛАВ-81017",ЛОЖЬ
"P","S","УАЗ-330394",ЛОЖЬ
"N","а","Хундай Санта ФЕ",ЛОЖЬ
"B","_","Легковые автомобили 2",ИСТИНА
"_",")","Хенде Санта ФЕ",ЛОЖЬ
"_","(","Мицубиси Паджеро Спорт",ЛОЖЬ
"_","*","ВАЗ-21154",
"P","T","ГАЗ-29625К",ЛОЖЬ
"_","+","ВАЗ-21144",ЛОЖЬ
"_",",","Рено Логан",ЛОЖЬ
"C","f","ОАО ""Автофрамос"" Россия",ЛОЖЬ
"ж","Ж","ЗАО НПФ ""МЕТА""",ЛОЖЬ
"E","q","ППТК",ЛОЖЬ
"P","U","МЕТА-297700",ЛОЖЬ
"S","0","BMW F800S",ЛОЖЬ
"ж","З","ООО ""Армада""",ЛОЖЬ
"H","и","Авиаотряд",ЛОЖЬ
"ж","И","Центральная автобаза",ЛОЖЬ
"Q","H","Форд Транзит",ЛОЖЬ
"G","U","серебристый зелено-голубой",ЛОЖЬ
"ж","Й","Межрайон.фонд содействия ""Витязь""",ЛОЖЬ
"G","V","бело-красный",ЛОЖЬ
"E","r","Цистерна",ЛОЖЬ
"C","g","МАЗ",ЛОЖЬ
"_","-","Фольскваген Фаэтон 3,0",ЛОЖЬ
"ж","К","ГЦАХиТО МВД РФ",ЛОЖЬ
"_",".","Форд Универсал",ЛОЖЬ
"ж","Л","ООО ""Юнион""",ЛОЖЬ
"P","V","ЛУВР-9,0-60",ЛОЖЬ
"ж","М","ОАО ""Варгашинский завод ППСО""",ЛОЖЬ
"E","s","Поисково-спасательная",ЛОЖЬ
"E","t","Лавина",ЛОЖЬ
"Q","I","РИДА-297611",ЛОЖЬ
"ж","Н","ООО ""Росэкспертиза""",ЛОЖЬ
"_","/","ВАЗ-21124",ЛОЖЬ
"ж","О","ООО ""Фирма""Аква-Дон""",ЛОЖЬ
"_","0","ВАЗ-21703 Приора",ЛОЖЬ
"P","W","Поток-28271",ЛОЖЬ
"J","┤","Прочие склады 2",ИСТИНА
"┤","(","ООО ""Автоцентр Центральный""",ЛОЖЬ
"┤",")","ООО ""Ростсельмаш""",ЛОЖЬ
