"C_MENU,C,1","C_REC,C,1","NAME_REC,C,35","ENDS,L"
"H","+","Следственный отдел",
"H","-","УРЛС",
"H",".","ФЭО",
"H","/","ИЦ",
"H","<","ИВС",ЛОЖЬ
"H","1","ППС",
"H","Z","УОДУУПиПДН",ЛОЖЬ
"I","*","ХОЗУ МВД СССР",
"(",,"Штатная положенность",ИСТИНА
"(","*","Кадры",ЛОЖЬ
",",,"Единица измерения",ЛОЖЬ
",","+","кг.",ЛОЖЬ
",",")","литр",ЛОЖЬ
",","*","метр",ЛОЖЬ
"-",,"Назначение материалов со склада",ЛОЖЬ
"-","(","Автомобили",ЛОЖЬ
"-",")","Мотоциклы",ЛОЖЬ
"-","*","Катера",ЛОЖЬ
"-","+","Заказы",ЛОЖЬ
"-",",","Реализация",ЛОЖЬ
",","(","шт.",ЛОЖЬ
".",,"Список организаций",ЛОЖЬ
"D",",","открытый",ЛОЖЬ
"D","-","закрытый",ЛОЖЬ
"D","1","бортовой",ЛОЖЬ
"E","1","ПЯФЛ",ЛОЖЬ
"E","2","АПРС",ЛОЖЬ
"E","3","АОТА",ЛОЖЬ
"E","4","АТН",ЛОЖЬ
"E","5","АТНС",ЛОЖЬ
"E","6","ПКЛ",ЛОЖЬ
"E","7","СМ 8/2 шифровальная",ЛОЖЬ
"E","8","РРС радиостанция",ЛОЖЬ
"I","+","ГУМТ и ВС МВД СССР",ЛОЖЬ
"I",",","СК ОУМТ и ВС МВД СССР",ЛОЖЬ
"I","-","Руководство УВД Ростоблисполкома",ЛОЖЬ
"J","-","Учер. УЗ-62/14 Горьковского УИТУ",ЛОЖЬ
"J",".","Военсклад 59 МВД СССР",ЛОЖЬ
"J","/","СКВБ МВД РФ",ЛОЖЬ
"J","0","ЦОВБ МВД СССР",ЛОЖЬ
"J","3","Центральной автобазы МВД СССР",ЛОЖЬ
"J","1","7-е Управление МВД СССР",ЛОЖЬ
"J","2","Завода изготовителя",ЛОЖЬ
"J","4","УО УВД Ростоблисполкома",ЛОЖЬ
"J","5","Учер. 398/17 УВД Ростоблисполкома.",ЛОЖЬ
"J","6","Областной совет ""Динамо"".",ЛОЖЬ
"J",":","Кооператив ""Строитель""",ЛОЖЬ
"J","8","ТОО ЛОГОВАЗ-ДОН",ЛОЖЬ
"J","9","Предприятия п.я. А-3565.",ЛОЖЬ
"I","0","7-е Управление МВД СССР",ЛОЖЬ
"I","(","Ростовский облисполком",ЛОЖЬ
"J",")","УГПС ГУВД РО",ЛОЖЬ
"J","*","НИИСТ МВД России",ЛОЖЬ
"J","й","Колхоз ""Заветы Ильича"".",ИСТИНА
"J","к","Спец.склад резерва МВД СССР",ИСТИНА
"F",",","малогабаритный",ЛОЖЬ
"G","1","хаки",
"G","2","бежевый",
"H","4","Поликлиника",
"H","5","Инспекция по личн.составу",
"H","6","Больница",
"H","7","Руководство",
"E","9","Автобус",
"D","0","цельнометалический",
"G","3","светло бежевый",
"P","(","УАЗ-3741",
"G","4","песочный",
"G","6","сафари",ЛОЖЬ
"D","/","автокран",
"B","5","Погрузчик",ИСТИНА
"D","2","самосвал",
"E",":","Бортовой",
"J","7","Кооператив Эврика",
"C","3","Ереванский,АССР",
"H","8","ГАИ УВД /ОВД/",
"P","*","ЗИЛ-ММЗ-554",
"P","+","ЗИЛ-4314-10",
"J",";","Ростовский горисполком",
"5","7","4081",ЛОЖЬ
"5","(","УНЦ-060",
";","(",,ЛОЖЬ
"G","`","голубой",ИСТИНА
"J","<","ПО ""Красный котельщик""",
"O","(","Ниссан",
"N",",","Опель-Сенатор",
"Q","(","Ныса-521с",
"C","4","Опель, ФРГ",
"(",")","ГСМ",ИСТИНА
")","0","Топливо",ИСТИНА
")","1","Масло",ИСТИНА
"0","(","А-72",ЛОЖЬ
"0",")","А-76",ЛОЖЬ
"0","*","Аи-93",ЛОЖЬ
"0","+","Аи-98 ""экстра""",ЛОЖЬ
"0",",","Соляровое масло",ЛОЖЬ
"1","(","М-10г",ЛОЖЬ
"1",")","Ас-8",ЛОЖЬ
"C","5","Кировский,Ленинград,СССР",ЛОЖЬ
"H","0","ЦИТСиЗИ",ЛОЖЬ
"E","*","АП-ППС",
"*",,"Источники финансирования",ЛОЖЬ
"*","(","Федеральный бюджет",ЛОЖЬ
"*",")","Областной бюджет",ЛОЖЬ
"*","*","За счет средств исполкома",ЛОЖЬ
"(","+","Транспорт",ИСТИНА
"+","2","Легковые",ИСТИНА
"+","6","Оперативно служебные",ИСТИНА
"+","4","Грузовые",ИСТИНА
"+","+","Санитарные",ЛОЖЬ
"+","a","Автобусы",ИСТИНА
"+","-","Мотоциклы",ЛОЖЬ
"+",".","Автопогрузчики",ЛОЖЬ
"+","/","Трактора",ЛОЖЬ
"+","0","Катера",ЛОЖЬ
"+","1","Лодки",ЛОЖЬ
"2","i","АДЧ",ИСТИНА
"2",")","АП-ППС",ЛОЖЬ
"2","*","АП-ГАИ",ЛОЖЬ
"2","+","Стандартные",ЛОЖЬ
"2",",","АЭ",ЛОЖЬ
"2","-","БД",ЛОЖЬ
"2",".","ГПН в спецокраске",ЛОЖЬ
"2","3","прочие",ИСТИНА
"3","(","Санэпидемстанция",ЛОЖЬ
"3",")","Медпомощь на дому",ЛОЖЬ
"3","*","ИЦ",ЛОЖЬ
"3","+","ФПО",ЛОЖЬ
"3",",","другие",ЛОЖЬ
"3","-","автохозяйство",ЛОЖЬ
"4","+","Малотоннажные",ЛОЖЬ
"4",",","прочие",ЛОЖЬ
"6","(","АДЧ",ЛОЖЬ
"6",")","АЗ",ЛОЖЬ
"6","*","АМВ",ЛОЖЬ
"6","+","АШ",ЛОЖЬ
"6",",","СМ 8/2",ЛОЖЬ
"-","-","Под отчет",ЛОЖЬ
"E",";","Топливовоз",ЛОЖЬ
"E","<","Изотермическая",ЛОЖЬ
"E","=","Экологический",ЛОЖЬ
"E",">","Автопогрузчик",ЛОЖЬ
"C","6","Фиат,Италия",ЛОЖЬ
"C","7","Н-Камский  автозавод",ЛОЖЬ
"C","8","ЧССР",ЛОЖЬ
"J","=","Магазин N-8 Облспорткультторга",ЛОЖЬ
"J",">","Новочеркасский хим.завод",ЛОЖЬ
"D","3","фургон",ЛОЖЬ
"H",":","ЭКЦ",ЛОЖЬ
"H","=","Пресслужба",ЛОЖЬ
"I","<","МВД СССР",ЛОЖЬ
"J","?","Ставропольское УВД",ЛОЖЬ
"B","?","Топливовоз",ИСТИНА
"?","(","модель 36133 АЦ-4,9",ЛОЖЬ
"D","4","цистерна",ЛОЖЬ
"J","@","Завод ""Нефтемаш"" г.Новочеркасск",ЛОЖЬ
">",,"Способ приобретения",ЛОЖЬ
">","(","покупка",
">",")","безвозмездная передача",ЛОЖЬ
",",",","к-т.",ЛОЖЬ
"F","@","грузоподъемность",ИСТИНА
"F",".","49мест",ЛОЖЬ
"@","(","грузоподъемность 2т",ЛОЖЬ
"@",")","грузоподъемность 3т",ЛОЖЬ
"@","*","грузоподъемность 5т",ЛОЖЬ
"B","7","Трактор",ИСТИНА
"7","(","К-700",ЛОЖЬ
"H","A","Оперативный отдел",ЛОЖЬ
"H","B","УУП",ЛОЖЬ
"H","F","ИДН",ЛОЖЬ
"8",,"Оплата",ЛОЖЬ
"8","(","Работа на транспортное средство",ЛОЖЬ
"8",")","Покупка",ЛОЖЬ
"8","*","Реализация",ЛОЖЬ
"8","+","Накладные расходы",ЛОЖЬ
"8",",","Культурно-массовые мероприятия",ЛОЖЬ
"8","-","Заказы",ЛОЖЬ
"8",".","Ремонт оборудования",ЛОЖЬ
"8","/","Хозяйственные расходы",ЛОЖЬ
"8","0","Цеховые расходы",ЛОЖЬ
"8","1","Содержание помещений",ЛОЖЬ
"8","2","Охрана труда",ЛОЖЬ
"8","3","Стоимость работ",ЛОЖЬ
"E","?","АДТП",ЛОЖЬ
"-",".","Ремонт оборудования",ЛОЖЬ
"-","/","прочие",ЛОЖЬ
"E","A","Санитарная",ЛОЖЬ
"E","B","Медицинская служба",ЛОЖЬ
"A","-","Медицинский",ЛОЖЬ
"C","9","Черкесский",ЛОЖЬ
"D","5","рефрижератор",ЛОЖЬ
"Q",")","РАФ-977ИМ",ЛОЖЬ
"D","6","вакуумный",ЛОЖЬ
"U",")","ИЖ-2715",ЛОЖЬ
"N","N","М-408",ЛОЖЬ
"H","G","ЦВИНП",ЛОЖЬ
"P",",","ГАЗ-51",ЛОЖЬ
"S","(","М-63 с коляской",ЛОЖЬ
"S",")","К-750",ЛОЖЬ
"N","O","ВАЗ-21074",ЛОЖЬ
"N","P","Ниссан-Патрол R",ЛОЖЬ
"N","Q","ВАЗ-21041",ЛОЖЬ
"N","R","ВАЗ-21043",ЛОЖЬ
"<","+","Военсклад  N68",
"<",",","Ростовтехоптторг",
"<","-","ХОЗО УВД РО",
"<",".","СРП - 1",
"D",".","вагонного типа",
"U","(","ИЖ-2125",
"<","0","Ростовская нефтебаза",
"<","1","Батайская нефтебаза",
"<","2","Злодейская нефтебаза",
"<","3","ЦОВБ  ГУМТ и ВС",
"<",")","Военсклад  N51",
"<","*","Военсклад  N59",
"V","3","АТХ УВД - Н.Новгород",
"<","(","Системы УВД",
"<","4","П/О ""БЕЛОЦЕРКОВШИНА""",
",","-","кус.",
",",".","м/п",
",","/","кв.м",
",","0","куб.м",
"<","5","Кооператив ""Шиноремонтник""",
".","<","Основные орг.",ИСТИНА
".","V","Прочие орг.",ИСТИНА
"V","4","УО УВД Ростоблисполкома",
"<","/","СРП - 2",
",","1","тн",
",","2","пар",
"N","S","М-21412",ЛОЖЬ
"N","T","ГАЗ-2411",ЛОЖЬ
"E","C","ПРМ-1",ЛОЖЬ
"E","D","АРМ",ЛОЖЬ
"P","-","УАЗ-3303",ЛОЖЬ
"D","7","платформа",ЛОЖЬ
"H","J","ЦАХиТО",ЛОЖЬ
"H","K","ЦКС",ЛОЖЬ
"N","U","ИЖ-412",ЛОЖЬ
"5",")","4045Р",ЛОЖЬ
"H","N","Межрегиональн.отд.""КАВКАЗ""",ЛОЖЬ
"C",":","Польша",ЛОЖЬ
"H","O","Инспекция технадзора",ЛОЖЬ
"D","8","седельный тягач",ЛОЖЬ
"J","A","Таганрогский комбайновый з-д",ЛОЖЬ
"J","B","СП ""Ладаэкспорт"" г.Чехов",ЛОЖЬ
"E","E","АШ",ЛОЖЬ
"I",")","ХОЗО МВД РСФСР",ЛОЖЬ
"E","F","Мотоцикл",ЛОЖЬ
"E","G","Катер",ЛОЖЬ
"E","H","Мотолодка",ЛОЖЬ
"D","9","шасси",ЛОЖЬ
"D",";","""вахта""",ЛОЖЬ
"J","C","ПМК-15 ""Ростовводмелиорация""",ЛОЖЬ
"J","D","СК УВДТ",ЛОЖЬ
"J","E","УЧ 398/12",ЛОЖЬ
"E","I","Передвиж.лабор.по контр.кач.воды",ЛОЖЬ
"J","F","Аксайский райисполком",ЛОЖЬ
"/",,"Модели покрышек",
"=",,"Заводы-изготовители покрышек",
"/","(","МИ-16",
"=","(","Нижнекамский ШЗ",
"W",,"Размеры покрышек",
"W","(","165/80/r13",
"X","("," МАЗ-5334",ЛОЖЬ
"E","J","Кинотеатр",ЛОЖЬ
"E","K","Технологический передатчик",ЛОЖЬ
"H","T","База отдыха",ЛОЖЬ
"H","V","МЭО ГАИ",ЛОЖЬ
"H","X","АТО",ЛОЖЬ
"J","G","П/О  ""Ростовуголь""",ЛОЖЬ
"C",";","Ниссан,Япония",ЛОЖЬ
"J","H","МП ""ПОСРЕДНИК""",ЛОЖЬ
